,votes_dem,votes_gop,total_votes,per_dem,per_gop,diff,per_point_diff,state_abbr,county_name,combined_fips,,winner
0,93003,130413,246588,0.377159472,0.528870018,"37,410",15.17%,AK,Aleutians East,2013,,TRUMP
1,93003,130413,246588,0.377159472,0.528870018,"37,410",15.17%,AK,Aleutians West,2016,,TRUMP
2,93003,130413,246588,0.377159472,0.528870018,"37,410",15.17%,AK,Anchorage,2020,,TRUMP
3,93003,130413,246588,0.377159472,0.528870018,"37,410",15.17%,AK,Bethel,2050,,TRUMP
4,93003,130413,246588,0.377159472,0.528870018,"37,410",15.17%,AK,Bristol Bay,2060,,TRUMP
5,93003,130413,246588,0.377159472,0.528870018,"37,410",15.17%,AK,Denali,2068,,TRUMP
6,93003,130413,246588,0.377159472,0.528870018,"37,410",15.17%,AK,Dillingham,2070,,TRUMP
7,93003,130413,246588,0.377159472,0.528870018,"37,410",15.17%,AK,Fairbanks North Star,2090,,TRUMP
8,93003,130413,246588,0.377159472,0.528870018,"37,410",15.17%,AK,Haines,2100,,TRUMP
9,93003,130413,246588,0.377159472,0.528870018,"37,410",15.17%,AK,Polk ,2105,,TRUMP
10,93003,130413,246588,0.377159472,0.528870018,"37,410",15.17%,AK,Juneau,2110,,TRUMP
11,93003,130413,246588,0.377159472,0.528870018,"37,410",15.17%,AK,Kenai Peninsula,2122,,TRUMP
12,93003,130413,246588,0.377159472,0.528870018,"37,410",15.17%,AK,Ketchikan Gateway,2130,,TRUMP
13,93003,130413,246588,0.377159472,0.528870018,"37,410",15.17%,AK,Kodiak Island,2150,,TRUMP
14,93003,130413,246588,0.377159472,0.528870018,"37,410",15.17%,AK,Lake and Peninsula,2164,,TRUMP
15,93003,130413,246588,0.377159472,0.528870018,"37,410",15.17%,AK,Matanuska-Susitna,2170,,TRUMP
16,93003,130413,246588,0.377159472,0.528870018,"37,410",15.17%,AK,Nome,2180,,TRUMP
17,93003,130413,246588,0.377159472,0.528870018,"37,410",15.17%,AK,North Slope,2185,,TRUMP
18,93003,130413,246588,0.377159472,0.528870018,"37,410",15.17%,AK,Northwest Arctic,2188,,TRUMP
19,93003,130413,246588,0.377159472,0.528870018,"37,410",15.17%,AK,Alaska,2195,,TRUMP
20,93003,130413,246588,0.377159472,0.528870018,"37,410",15.17%,AK,Alaska,2198,,TRUMP
21,93003,130413,246588,0.377159472,0.528870018,"37,410",15.17%,AK,Sitka,2220,,TRUMP
22,93003,130413,246588,0.377159472,0.528870018,"37,410",15.17%,AK,Alaska,2230,,TRUMP
23,93003,130413,246588,0.377159472,0.528870018,"37,410",15.17%,AK,Southeast Fairbanks,2240,,TRUMP
24,93003,130413,246588,0.377159472,0.528870018,"37,410",15.17%,AK,Valdez-Cordova,2261,,TRUMP
25,93003,130413,246588,0.377159472,0.528870018,"37,410",15.17%,AK,Wade Hampton,2270,,TRUMP
26,93003,130413,246588,0.377159472,0.528870018,"37,410",15.17%,AK,Alaska,2275,,TRUMP
27,93003,130413,246588,0.377159472,0.528870018,"37,410",15.17%,AK,Yakutat,2282,,TRUMP
28,93003,130413,246588,0.377159472,0.528870018,"37,410",15.17%,AK,Yukon-Koyukuk,2290,,TRUMP
29,5908,18110,24661,0.23956855,0.734357893,"12,202",49.48%,AL,Autauga ,1001,,TRUMP
30,18409,72780,94090,0.195653098,0.77351472,"54,371",57.79%,AL,Baldwin ,1003,,TRUMP
31,4848,5431,10390,0.466602502,0.522714148,583,5.61%,AL,Barbour ,1005,,TRUMP
32,1874,6733,8748,0.214220393,0.769661637,"4,859",55.54%,AL,Bibb ,1007,,TRUMP
33,2150,22808,25384,0.084699023,0.898518752,"20,658",81.38%,AL,Blount ,1009,,TRUMP
34,3530,1139,4701,0.750904063,0.242288875,"2,391",50.86%,AL,Bullock ,1011,,CLINTON
35,3716,4891,8685,0.427864134,0.563154865,"1,175",13.53%,AL,Butler ,1013,,TRUMP
36,13197,32803,47376,0.278558764,0.692396994,"19,606",41.38%,AL,Calhoun ,1015,,TRUMP
37,5763,7803,13778,0.418275512,0.56633764,"2,040",14.81%,AL,Chambers ,1017,,TRUMP
38,1524,8809,10503,0.1451014,0.838712749,"7,285",69.36%,AL,Cherokee ,1019,,TRUMP
39,2909,15068,18255,0.159353602,0.825417694,"12,159",66.61%,AL,Chilton ,1021,,TRUMP
40,3109,4102,7268,0.427765548,0.564391855,993,13.66%,AL,Choctaw ,1023,,TRUMP
41,5712,7109,12936,0.441558442,0.549551639,"1,397",10.80%,AL,Clarke ,1025,,TRUMP
42,1234,5230,6572,0.187766281,0.795800365,"3,996",60.80%,AL,Clay ,1027,,TRUMP
43,684,5738,6532,0.104715248,0.878444581,"5,054",77.37%,AL,Cleburne ,1029,,TRUMP
44,4194,15825,20513,0.204455711,0.771462,"11,631",56.70%,AL,Coffee ,1031,,TRUMP
45,7296,16718,24626,0.296272233,0.678875985,"9,422",38.26%,AL,Colbert ,1033,,TRUMP
46,3069,3413,6543,0.469050894,0.521626165,344,5.26%,AL,Conecuh ,1035,,TRUMP
47,1780,3376,5223,0.340800306,0.646371817,"1,596",30.56%,AL,Coosa ,1037,,TRUMP
48,2379,13222,15818,0.15039828,0.835883171,"10,843",68.55%,AL,Covington ,1039,,TRUMP
49,1663,4511,6252,0.265994882,0.721529111,"2,848",45.55%,AL,Crenshaw ,1041,,TRUMP
50,3730,32734,37278,0.100059016,0.878105049,"29,004",77.80%,AL,Cullman ,1043,,TRUMP
51,4408,13798,18617,0.236772842,0.741150561,"9,390",50.44%,AL,Dale ,1045,,TRUMP
52,12826,5784,18730,0.684783769,0.308809397,"7,042",37.60%,AL,Dallas ,1047,,CLINTON
53,3682,21779,26086,0.141148509,0.834892279,"18,097",69.37%,AL,DeKalb ,1049,,TRUMP
